orginazation,server,number,model,serial,time,degree,hum,fine dust,ultrafine dust,voc,co2,day
서울시,19,1,IAQ_SEOUL,V10G1803044,2.02E+11,20,53,3,3,9,304,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803649,2.02E+11,21,53,4,3,20,356,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802508,2.02E+11,22,49,4,3,67,344,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802751,2.02E+11,22,51,0,0,194,422,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803336,2.02E+11,22,44,4,4,41,397,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802374,2.02E+11,19,49,5,5,27,421,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803665,2.02E+11,22,45,4,3,22,341,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802327,2.02E+11,24,46,3,3,13,377,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802740,2.02E+11,23,47,4,3,6,414,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802482,2.02E+11,22,57,4,3,125,679,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802020,2.02E+11,23,42,4,3,14,363,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802237,2.02E+11,22,49,3,3,15,348,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802478,2.02E+11,23,56,3,3,315,620,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802749,2.02E+11,24,52,4,3,47,408,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802360,2.02E+11,22,44,4,3,18,0,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802362,2.02E+11,21,48,4,3,9,460,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802325,2.02E+11,23,43,4,4,10,319,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802328,2.02E+11,23,48,4,3,12,532,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802092,2.02E+11,22,49,4,3,16,418,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802512,2.02E+11,24,45,4,3,38,462,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802504,2.02E+11,20,46,5,4,21,0,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802333,2.02E+11,24,40,4,3,15,385,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802488,2.02E+11,20,48,4,3,39,284,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802321,2.02E+11,22,51,3,3,22,346,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802496,2.02E+11,21,48,4,3,649,459,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802497,2.02E+11,23,48,9,6,127,1017,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802307,2.02E+11,20,50,5,4,39,403,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802217,2.02E+11,22,44,3,3,203,380,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802268,2.02E+11,23,43,5,4,167,445,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802665,2.02E+11,22,45,4,3,13,612,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802493,2.02E+11,23,46,4,3,24,370,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802314,2.02E+11,22,49,4,3,290,533,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802204,2.02E+11,22,48,5,4,111,484,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802334,2.02E+11,20,48,4,3,37,319,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802329,2.02E+11,21,45,3,3,59,350,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803504,2.02E+11,21,45,4,3,22,423,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802312,2.02E+11,21,50,4,3,121,443,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802499,2.02E+11,22,49,23,14,13,1103,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802315,2.02E+11,22,48,4,3,917,571,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802330,2.02E+11,22,43,5,4,66,394,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802498,2.02E+11,22,49,8,5,324,857,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802308,2.02E+11,22,56,5,3,17,730,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802112,2.02E+11,21,47,1,0,33,436,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802669,2.02E+11,22,45,7,4,40,8,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803387,2.02E+11,18,48,0,0,231,411,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802526,2.02E+11,22,43,5,4,14,208,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802196,2.02E+11,25,47,0,0,12,415,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803593,2.02E+11,24,42,3,3,20,341,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802773,2.02E+11,21,46,1,0,6,414,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803614,2.02E+11,25,41,3,3,17,380,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803488,2.02E+11,21,49,3,3,12,408,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802662,2.02E+11,22,49,4,3,18,196,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803512,2.02E+11,21,44,12,11,13,349,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803860,2.02E+11,23,42,9,5,14,360,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802668,2.02E+11,20,47,5,3,32,411,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802679,2.02E+11,23,45,3,3,8,414,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803621,2.02E+11,24,42,0,0,14,389,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802106,2.02E+11,21,50,1,0,12,479,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802761,2.02E+11,23,46,3,3,13,430,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803368,2.02E+11,21,44,13,12,26,546,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803152,2.02E+11,21,43,9,6,18,366,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802593,2.02E+11,19,48,15,13,37,403,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802616,2.02E+11,21,46,5,4,53,354,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803497,2.02E+11,21,44,4,4,60,355,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802322,2.02E+11,18,49,4,3,26,387,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802721,2.02E+11,21,47,5,4,389,465,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802472,2.02E+11,22,52,4,3,173,743,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803288,2.02E+11,23,39,5,3,16,616,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802613,2.02E+11,22,52,0,0,12,419,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803339,2.02E+11,23,44,4,3,109,392,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802104,2.02E+11,23,45,1,0,31,380,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803008,2.02E+11,22,51,3,3,16,425,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802111,2.02E+11,21,44,5,4,144,301,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803786,2.02E+11,22,47,4,3,17,414,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802143,2.02E+11,18,52,4,3,59,450,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803456,2.02E+11,22,46,0,0,212,433,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803558,2.02E+11,22,46,3,3,187,171,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803300,2.02E+11,22,43,4,4,169,428,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802680,2.02E+11,22,50,8,4,37,629,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802886,2.02E+11,22,52,3,3,121,684,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803548,2.02E+11,23,47,11,10,10,0,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803029,2.02E+11,23,42,4,3,95,406,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803128,2.02E+11,22,50,14,12,7,517,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803516,2.02E+11,21,51,4,3,38,575,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803840,2.02E+11,20,44,4,3,52,328,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802152,2.02E+11,23,45,4,3,13,546,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803833,2.02E+11,20,50,4,3,88,359,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803160,2.02E+11,20,53,0,0,56,420,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803703,2.02E+11,22,50,0,0,11,404,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803557,2.02E+11,22,47,5,4,10,366,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803746,2.02E+11,22,42,3,3,29,289,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803642,2.02E+11,21,51,5,4,14,270,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803482,2.02E+11,21,51,1,0,25,421,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803003,2.02E+11,20,52,0,0,54,422,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803484,2.02E+11,20,53,4,4,20,291,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803955,2.02E+11,22,44,3,3,151,347,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802207,2.02E+11,21,47,3,3,13,424,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803842,2.02E+11,24,42,4,3,12,330,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803816,2.02E+11,21,45,5,3,29,317,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803031,2.02E+11,23,50,4,3,10,345,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802820,2.02E+11,22,49,3,2,70,484,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803025,2.02E+11,23,44,4,3,77,276,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802859,2.02E+11,21,61,3,3,4,383,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803112,2.02E+11,21,60,3,3,36,338,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802474,2.02E+11,22,44,4,3,195,491,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802344,2.02E+11,24,41,3,3,26,310,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802857,2.02E+11,22,45,1,0,134,553,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803626,2.02E+11,22,49,3,2,143,703,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803733,2.02E+11,22,49,4,3,23,428,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802580,2.02E+11,20,48,11,10,6,374,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802543,2.02E+11,22,48,6,4,42,393,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802569,2.02E+11,22,47,4,3,42,365,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802473,2.02E+11,20,42,41,34,286,494,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802584,2.02E+11,21,46,4,3,83,400,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802348,2.02E+11,22,44,24,22,16,391,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803239,2.02E+11,23,48,7,5,15,500,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802561,2.02E+11,21,48,4,3,22,359,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802586,2.02E+11,21,44,3,3,10,372,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803392,2.02E+11,23,41,10,10,21,483,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802342,2.02E+11,22,48,3,3,23,445,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803625,2.02E+11,21,47,16,14,120,655,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802051,2.02E+11,21,49,4,3,25,69,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802541,2.02E+11,23,47,4,3,71,347,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802457,2.02E+11,21,42,5,4,21,42,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803182,2.02E+11,22,47,4,4,16,444,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803249,2.02E+11,24,42,3,3,29,71,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803175,2.02E+11,20,46,5,4,13,481,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803151,2.02E+11,20,47,3,3,9,435,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803832,2.02E+11,21,51,4,3,11,341,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802925,2.02E+11,21,48,4,3,13,0,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802352,2.02E+11,21,47,5,3,9,381,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803159,2.02E+11,20,47,5,4,21,339,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802391,2.02E+11,22,46,4,3,7,0,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802921,2.02E+11,22,47,3,3,17,407,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802920,2.02E+11,21,50,0,0,12,429,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803885,2.02E+11,21,49,3,3,15,470,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802167,2.02E+11,22,47,4,3,13,361,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802042,2.02E+11,23,43,5,4,91,424,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803451,2.02E+11,22,47,3,3,5,574,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803358,2.02E+11,22,45,4,3,15,336,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802912,2.02E+11,20,48,5,4,68,364,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803055,2.02E+11,26,38,4,3,79,430,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802160,2.02E+11,21,44,3,3,21,355,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802989,2.02E+11,18,55,6,4,280,567,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803043,2.02E+11,20,52,7,5,10,673,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803307,2.02E+11,22,43,3,3,7,391,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803810,2.02E+11,22,43,4,3,45,410,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803879,2.02E+11,20,50,4,3,20,299,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803851,2.02E+11,22,44,1,0,35,409,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803860,2.02E+11,23,42,9,5,14,360,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803527,2.02E+11,20,54,10,6,20,599,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803769,2.02E+11,21,45,7,5,197,361,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803176,2.02E+11,18,56,4,3,25,380,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802709,2.02E+11,20,50,1,0,37,347,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803777,2.02E+11,23,43,4,3,17,64,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803925,2.02E+11,19,48,3,3,10,300,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803098,2.02E+11,21,45,4,3,8,364,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802979,2.02E+11,18,54,5,4,10,438,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802851,2.02E+11,22,44,5,4,17,318,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803877,2.02E+11,23,40,6,3,14,441,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802855,2.02E+11,22,44,3,3,15,430,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802180,2.02E+11,18,54,618,604,105,447,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803002,2.02E+11,22,40,4,3,47,299,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802078,2.02E+11,22,40,4,3,71,0,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803406,2.02E+11,23,44,4,3,19,402,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802215,2.02E+11,22,45,4,3,174,337,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803716,2.02E+11,22,44,4,3,11,391,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802617,2.02E+11,19,49,6,4,19,275,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803816,2.02E+11,21,45,5,3,29,317,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803698,2.02E+11,23,41,4,3,7,518,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802607,2.02E+11,27,35,0,0,8,424,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803731,2.02E+11,23,45,3,3,12,340,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803855,2.02E+11,20,64,4,3,21,427,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802849,2.02E+11,22,44,4,3,47,170,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802286,2.02E+11,20,64,5,4,23,520,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802588,2.02E+11,23,41,4,3,37,418,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803131,2.02E+11,22,44,3,3,64,296,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803533,2.02E+11,23,42,3,3,29,330,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803820,2.02E+11,20,63,11,10,7,449,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803108,2.02E+11,20,50,4,3,19,309,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803343,2.02E+11,22,47,4,3,6,649,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803837,2.02E+11,22,46,4,3,13,334,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802464,2.02E+11,21,45,3,3,21,324,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803922,2.02E+11,19,51,1,0,8,457,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802821,2.02E+11,22,45,4,3,15,358,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802396,2.02E+11,23,44,4,3,19,0,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803942,2.02E+11,21,51,3,3,11,303,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802389,2.02E+11,22,44,0,0,50,389,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803496,2.02E+11,20,49,3,3,38,325,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803800,2.02E+11,21,47,14,5,321,774,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803754,2.02E+11,16,56,1,1,13,378,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803946,2.02E+11,17,53,5,4,10,380,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802356,2.02E+11,23,43,4,3,14,267,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803976,2.02E+11,21,48,4,3,52,428,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803465,2.02E+11,20,47,4,3,12,367,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802465,2.02E+11,22,40,5,4,38,391,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802161,2.02E+11,22,47,4,3,66,0,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802463,2.02E+11,19,49,13,11,13,388,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803868,2.02E+11,20,49,3,3,14,397,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802398,2.02E+11,22,46,4,3,10,351,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802140,2.02E+11,22,49,0,0,12,471,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803270,2.02E+11,20,49,2,1,382,744,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802953,2.02E+11,22,49,3,3,13,486,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802449,2.02E+11,21,48,3,3,25,319,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803975,2.02E+11,23,40,4,3,23,380,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803230,2.02E+11,20,49,3,3,32,333,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802996,2.02E+11,21,51,4,3,10,366,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803590,2.02E+11,18,55,5,4,32,0,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803014,2.02E+11,22,42,6,4,17,301,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802973,2.02E+11,20,48,4,3,48,476,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803584,2.02E+11,18,51,5,4,20,360,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803882,2.02E+11,20,48,4,3,21,323,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802986,2.02E+11,23,45,3,3,29,380,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802019,2.02E+11,22,46,4,3,2,280,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803630,2.02E+11,21,49,4,3,46,401,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803173,2.02E+11,20,49,4,3,17,541,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803383,2.02E+11,26,40,4,3,18,332,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803656,2.02E+11,22,47,4,4,16,408,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803363,2.02E+11,22,52,3,3,59,687,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803862,2.02E+11,24,43,6,5,22,374,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803737,2.02E+11,22,45,5,4,14,388,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1803385,2.02E+11,21,47,4,3,25,0,2021-05-10 0:15
서울시,19,1,IAQ_SEOUL,V10G1802715,2.02E+11,21,50,4,3,12,484,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802191,2.02E+11,20,49,5,4,99,405,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802525,2.02E+11,24,42,4,3,25,336,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802532,2.02E+11,21,45,5,3,15,284,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1803761,2.02E+11,22,43,12,5,18,358,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802062,2.02E+11,22,40,5,3,122,534,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802027,2.02E+11,21,46,5,4,19,432,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802677,2.02E+11,21,46,5,4,7,570,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802197,2.02E+11,21,48,5,4,59,452,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802678,2.02E+11,23,43,4,3,42,332,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802454,2.02E+11,21,46,1,0,8,442,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802099,2.02E+11,21,46,4,3,106,447,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802357,2.02E+11,22,48,3,3,18,426,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802419,2.02E+11,20,46,61,59,48,329,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802091,2.02E+11,23,53,4,3,6,377,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802233,2.02E+11,21,46,4,3,8,355,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1803812,2.02E+11,21,45,4,3,15,382,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802225,2.02E+11,21,49,4,3,27,461,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802415,2.02E+11,17,49,4,3,581,383,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802667,2.02E+11,21,47,4,3,8,397,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802538,2.02E+11,22,43,6,5,123,275,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802309,2.02E+11,21,46,3,3,13,445,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802521,2.02E+11,20,62,4,4,11,455,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802446,2.02E+11,22,44,4,3,43,395,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802686,2.02E+11,22,42,0,0,278,415,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802574,2.02E+11,22,43,5,4,23,0,2021-05-10 0:20
서울시,19,1,IAQ_SEOUL,V10G1802573,2.02E+11,20,57,3,3,8,357,2021-05-10 0:20
